City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hilo,US,2022-04-15 03:10:07,19.7297,-155.09,80.28,79,100,12.66
68,Oistins,BB,2022-04-15 03:11:14,13.0667,-59.5333,78.89,83,75,20.71
69,Clyde River,CA,2022-04-15 03:11:49,70.4692,-68.5914,-11.38,82,4,5.01
70,Edd,ER,2022-04-15 03:11:50,13.9297,41.6925,86.14,29,20,10.47
71,Meulaboh,ID,2022-04-15 03:11:51,4.1363,96.1285,83.91,72,87,1.03
72,Fort Nelson,CA,2022-04-15 03:11:51,58.8053,-122.7002,21.79,92,35,2.51
73,Esperance,AU,2022-04-15 03:11:52,-33.8667,121.9,65.66,59,68,6.33
74,Cabedelo,BR,2022-04-15 03:11:52,-6.9811,-34.8339,78.76,83,30,5.97
75,Beloha,MG,2022-04-15 03:11:53,-25.1667,45.05,73.31,77,100,5.44
76,Falmouth,GB,2022-04-15 03:11:54,50.1544,-5.0711,52.7,95,49,7.87
77,Hasaki,JP,2022-04-15 03:11:54,35.7333,140.8333,52.2,87,100,21.61
78,Gamba,GA,2022-04-15 03:11:55,-2.65,10.0,77.13,91,100,1.39
79,Bratsk,RU,2022-04-15 03:11:56,56.1325,101.6142,44.35,65,100,7.09
80,Makakilo City,US,2022-04-15 03:09:50,21.3469,-158.0858,80.92,52,0,18.41
81,Boshnyakovo,RU,2022-04-15 03:11:56,49.6333,142.1667,32.86,65,3,6.73
82,Bambous Virieux,MU,2022-04-15 03:09:04,-20.3428,57.7575,78.22,77,93,14.63
83,Deputatskiy,RU,2022-04-15 03:11:57,69.3,139.9,8.22,82,11,2.35
84,Koroni,GR,2022-04-15 03:11:58,36.8,21.95,56.07,61,55,3.31
85,Praya,CV,2022-04-15 03:10:30,14.9215,-23.5087,68.02,82,1,11.03
86,Talnakh,RU,2022-04-15 03:10:05,69.4865,88.3972,31.21,85,100,13.62
87,Antofagasta,CL,2022-04-15 03:08:02,-23.65,-70.4,60.08,85,23,3.67
88,San Patricio,US,2022-04-15 03:12:00,28.017,-97.5169,73.89,84,32,8.3
89,Pevek,RU,2022-04-15 03:13:00,69.7008,170.3133,20.88,81,38,1.45
90,Saint George,US,2022-04-15 03:08:24,37.1041,-113.5841,66.63,17,0,0.0
91,Greenfield,US,2022-04-15 03:08:25,42.9614,-88.0126,41.72,46,32,5.01
92,Luanda,AO,2022-04-15 03:11:08,-8.8368,13.2343,76.46,91,100,6.04
93,Adrar,MR,2022-04-15 03:13:02,20.5022,-10.0711,68.95,30,0,7.14
94,Moron,AR,2022-04-15 03:13:02,-34.6534,-58.6198,60.96,75,0,3.71
95,Warangal,IN,2022-04-15 03:08:37,18.0,79.5833,89.29,44,90,8.1
96,Matara,LK,2022-04-15 03:13:03,5.9485,80.5353,84.38,73,13,3.22
97,Vila Velha,BR,2022-04-15 03:11:02,-20.3297,-40.2925,76.95,96,0,2.3
98,Castro,BR,2022-04-15 03:13:05,-24.7911,-50.0119,55.74,93,47,6.22
99,Ylojarvi,FI,2022-04-15 03:13:06,61.5563,23.5961,31.62,94,20,6.91
100,Lasa,IT,2022-04-15 03:13:06,46.6166,10.7002,46.36,87,50,4.38
101,Pisco,PE,2022-04-15 03:11:12,-13.7,-76.2167,65.01,82,0,4.61
102,Obudovac,BA,2022-04-15 03:13:07,44.965,18.6122,42.26,69,99,2.04
103,Taoudenni,ML,2022-04-15 03:13:08,22.6783,-3.9836,76.55,18,0,18.5
104,Bengkulu,ID,2022-04-15 03:12:31,-3.8004,102.2655,81.9,76,87,0.63
105,Tasiilaq,GL,2022-04-15 03:13:09,65.6145,-37.6368,32.16,99,100,6.51
106,La Roda,ES,2022-04-15 03:13:10,39.2167,-2.15,49.91,78,4,2.17
107,Qaanaaq,GL,2022-04-15 03:13:10,77.484,-69.3632,-5.1,94,100,3.65
108,Fairbanks,US,2022-04-15 03:08:36,64.8378,-147.7164,44.56,38,0,11.5
109,Touros,BR,2022-04-15 03:09:46,-5.1989,-35.4608,79.99,79,100,6.93
110,Paamiut,GL,2022-04-15 03:13:12,61.994,-49.6678,23.29,89,100,19.51
111,Sarkand,KZ,2022-04-15 03:13:12,45.41,79.9186,63.61,23,0,3.49
112,Lyubymivka,UA,2022-04-15 03:13:13,46.8106,33.5686,48.02,81,88,2.24
113,Lokosovo,RU,2022-04-15 03:13:14,61.1333,74.8167,37.27,100,100,5.7
114,Pantabangan,PH,2022-04-15 03:13:14,15.8113,121.1443,89.24,51,42,1.01
115,Olinda,BR,2022-04-15 03:13:15,-8.0089,-34.8553,78.53,83,40,4.61
116,Bantry,IE,2022-04-15 03:13:16,51.6833,-9.45,51.78,98,100,9.69
117,Bandarbeyla,SO,2022-04-15 03:13:16,9.4942,50.8122,80.26,85,41,4.83
118,Mehamn,NO,2022-04-15 03:10:02,71.0357,27.8492,28.65,74,78,8.46
119,Nuevo Progreso,MX,2022-04-15 03:13:18,23.1667,-97.95,76.53,68,100,1.99
120,Punta Arenas,CL,2022-04-15 03:09:54,-53.15,-70.9167,44.71,93,100,5.75
121,Goundam,ML,2022-04-15 03:13:19,16.4145,-3.6708,81.5,13,9,9.37
122,Cidreira,BR,2022-04-15 03:13:20,-30.1811,-50.2056,59.52,68,0,11.25
123,Padang,ID,2022-04-15 03:13:20,-0.9492,100.3543,80.65,66,97,3.47
124,Lipin Bor,RU,2022-04-15 03:13:21,60.2622,37.9763,31.01,96,100,4.12
125,Pitimbu,BR,2022-04-15 03:13:21,-7.4706,-34.8086,78.73,82,41,5.57
126,Ewa Beach,US,2022-04-15 03:13:23,21.3156,-158.0072,82.35,52,0,18.41
127,Bubaque,GW,2022-04-15 03:13:23,11.2833,-15.8333,73.94,75,89,13.33
128,Rawson,AR,2022-04-15 03:13:24,-43.3002,-65.1023,66.06,32,1,24.87
129,Dikson,RU,2022-04-15 03:09:47,73.5069,80.5464,22.55,85,100,13.91
130,Kaitangata,NZ,2022-04-15 03:13:25,-46.2817,169.8464,63.39,51,60,3.33
131,Pundaguitan,PH,2022-04-15 03:13:25,6.3711,126.1689,82.49,72,84,4.34
132,Viedma,AR,2022-04-15 03:13:26,-40.8135,-62.9967,57.49,56,6,12.59
133,Tomatlan,MX,2022-04-15 03:14:27,19.9333,-105.25,69.15,81,100,1.43
134,Mitsamiouli,KM,2022-04-15 03:14:27,-11.3847,43.2844,81.25,75,30,7.09
135,Zaraza,VE,2022-04-15 03:14:28,9.3503,-65.3245,79.29,72,24,6.89
136,Mahebourg,MU,2022-04-15 03:09:56,-20.4081,57.7,79.25,77,82,14.7
137,Great Falls,US,2022-04-15 03:10:22,47.5002,-111.3008,19.67,74,100,5.75
138,Ancud,CL,2022-04-15 03:14:29,-41.8697,-73.8203,50.88,93,1,4.05
139,Umba,RU,2022-04-15 03:14:30,66.6871,34.3429,16.74,94,55,5.26
