City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kodiak,US,57.79,-152.4072,42.31,70,100,9.22,overcast clouds
80,Bilibino,RU,68.0546,166.4372,20.93,86,99,1.28,overcast clouds
81,Matsumoto,JP,36.2333,137.9667,49.91,69,76,1.72,broken clouds
82,Mataura,NZ,-46.1927,168.8643,56.48,59,1,2.68,clear sky
83,Husavik,IS,66.0449,-17.3389,40.59,97,100,1.14,light rain
84,Provideniya,RU,64.3833,-173.3,32.36,93,100,25.01,snow
85,Clyde River,CA,70.4692,-68.5914,-14.57,76,40,3.44,light snow
86,Coquimbo,CL,-29.9533,-71.3436,56.93,88,75,8.05,broken clouds
87,Springdale,US,36.1867,-94.1288,53.42,88,100,9.22,mist
88,Bengkulu,ID,-3.8004,102.2655,76.08,90,96,3.78,light rain
89,Bossier City,US,32.516,-93.7321,69.12,89,100,9.22,overcast clouds
90,Qaanaaq,GL,77.484,-69.3632,-16.96,78,1,3.18,clear sky
91,Ribeira Grande,PT,38.5167,-28.7,58.17,70,33,19.17,scattered clouds
92,Zhezkazgan,KZ,47.8043,67.7144,56.19,63,100,14.92,light rain
93,Bambous Virieux,MU,-20.3428,57.7575,77.25,94,75,5.75,light intensity shower rain
94,Nikolskoye,RU,59.7035,30.7861,39.87,76,100,3.78,overcast clouds
95,Rieti,IT,42.4072,12.8592,43.03,86,5,6.26,clear sky
96,Nelspruit,ZA,-25.4745,30.9703,61.09,94,99,0.0,overcast clouds
97,Bredasdorp,ZA,-34.5322,20.0403,59.74,94,80,4.38,broken clouds
98,Jiayuguan,CN,39.8167,98.3,38.39,32,0,3.0,clear sky
99,Omsukchan,RU,62.5333,155.8,19.81,84,98,2.55,overcast clouds
100,Mogadishu,SO,2.0371,45.3438,82.45,81,100,12.17,overcast clouds
101,Methoni,GR,36.8197,21.7049,58.21,84,94,6.49,light rain
102,Narsaq,GL,60.9167,-46.05,34.02,91,92,4.81,overcast clouds
103,Teya,RU,60.3778,92.6267,25.34,89,98,8.68,overcast clouds
104,Taltal,CL,-25.4,-70.4833,62.78,78,17,4.59,few clouds
105,Vaini,TO,-21.2,-175.2,84.36,79,75,6.91,broken clouds
106,Biak,ID,-0.9131,122.8766,77.7,76,81,1.95,broken clouds
107,Makakilo City,US,21.3469,-158.0858,79.12,63,100,12.66,overcast clouds
108,Iqaluit,CA,63.7506,-68.5145,-0.31,64,40,11.01,scattered clouds
109,Ormara,PK,25.2088,64.6357,80.04,85,0,1.86,clear sky
110,Ekhabi,RU,53.5102,142.9671,28.38,79,60,3.89,broken clouds
111,Uyuni,BO,-20.4597,-66.825,49.03,12,0,15.61,clear sky
112,Saint George,US,37.1041,-113.5841,83.79,9,0,5.99,clear sky
113,Pavlohrad,UA,48.5167,35.8667,43.86,83,100,9.08,overcast clouds
114,Khatanga,RU,71.9667,102.5,4.91,96,98,12.19,overcast clouds
115,New Norfolk,AU,-42.7826,147.0587,56.66,68,100,3.0,overcast clouds
116,Marau,BR,-28.4492,-52.2,57.09,86,67,3.74,broken clouds
117,Hofn,IS,64.2539,-15.2082,45.19,85,9,1.3,clear sky
118,Saldanha,ZA,-33.0117,17.9442,59.16,85,19,10.56,few clouds
119,Tabou,CI,4.423,-7.3528,76.95,84,100,1.28,overcast clouds
120,Butaritari,KI,3.0707,172.7902,81.77,74,12,11.81,few clouds
121,Victoria,HK,22.2855,114.1577,72.18,78,100,8.99,overcast clouds
122,Kanchipuram,IN,12.8333,79.7167,82.49,74,19,3.78,few clouds
123,Jamestown,US,42.097,-79.2353,41.02,41,20,6.91,few clouds
124,Acapulco,MX,16.8634,-99.8901,84.02,65,0,9.22,clear sky
125,Cidreira,BR,-30.1811,-50.2056,67.17,71,96,10.85,overcast clouds
126,Male,MV,4.1748,73.5089,83.77,72,97,11.65,overcast clouds
127,Tessalit,ML,20.1986,1.0114,74.37,22,0,10.33,clear sky
128,Tazmalt,DZ,36.3868,4.3989,54.07,76,0,2.64,clear sky
129,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,57,100,10.36,overcast clouds
130,Takaka,NZ,-40.85,172.8,62.56,52,84,3.85,broken clouds
131,Ixtapa,MX,20.7,-105.2,79.83,65,75,10.36,broken clouds
132,Parrsboro,CA,45.4001,-64.332,44.26,73,70,5.01,broken clouds
133,Dikson,RU,73.5069,80.5464,-8.48,100,92,2.89,overcast clouds
134,Balkanabat,TM,39.5108,54.3671,53.38,86,76,1.59,broken clouds
135,Asau,RO,46.4333,26.4,33.28,83,46,5.01,scattered clouds
136,Chokurdakh,RU,70.6333,147.9167,8.28,93,82,4.21,broken clouds
137,Beringovskiy,RU,63.05,179.3167,31.03,98,100,9.4,light snow
138,Mindelo,CV,16.8901,-24.9804,71.15,64,20,11.5,few clouds
139,Yellowknife,CA,62.456,-114.3525,19.92,49,20,13.0,few clouds
140,Mundi,IN,22.0667,76.5,84.7,20,0,8.01,clear sky
141,Fortuna,US,40.5982,-124.1573,59.94,53,0,9.22,clear sky
142,Dingle,PH,10.9995,122.6711,77.92,85,81,8.1,broken clouds
143,Saint-Philippe,RE,-21.3585,55.7679,74.79,88,67,11.81,light rain
144,Matoury,GF,4.8483,-52.3317,81.01,89,82,4.61,broken clouds
145,Longyearbyen,SJ,78.2186,15.6401,21.04,86,75,11.5,light snow
146,Ambovombe,MG,-25.1667,46.0833,72.36,87,74,5.73,broken clouds
147,Mount Gambier,AU,-37.8333,140.7667,53.51,100,75,5.75,light rain
148,Vostok,RU,46.4856,135.8833,34.97,59,20,7.25,few clouds
149,Vila Velha,BR,-20.3297,-40.2925,75.15,81,75,10.36,broken clouds
150,Zar,AM,40.2588,44.732,46.42,46,74,5.79,broken clouds
151,Bereda,ES,43.2686,-7.5406,51.42,93,27,4.27,scattered clouds
152,Mahebourg,MU,-20.4081,57.7,77.29,94,75,5.75,light intensity shower rain
153,Kavieng,PG,-2.5744,150.7967,85.24,66,83,13.82,broken clouds
154,East London,ZA,-33.0153,27.9116,64.49,79,47,7.09,scattered clouds
155,Salimbalan,PH,8.2742,124.7219,72.72,87,75,1.01,broken clouds
156,Turukhansk,RU,65.8167,87.9833,0.9,98,98,6.76,overcast clouds
157,Sinnar,SD,13.5691,33.5672,93.88,29,100,3.74,overcast clouds
158,Palmas Bellas,PA,9.2319,-80.0867,83.25,79,97,6.24,overcast clouds
159,Easton,US,40.6884,-75.2207,48.18,34,0,13.8,clear sky
160,Ponta Do Sol,PT,32.6667,-17.1,66.83,52,98,12.03,overcast clouds
161,Ekpoma,NG,6.7421,6.139,72.37,95,100,3.67,moderate rain
162,Tonshayevo,RU,57.736,47.0127,25.83,95,86,4.72,overcast clouds
163,Vila Do Maio,CV,15.1333,-23.2167,70.59,80,5,14.0,clear sky
164,Leningradskiy,RU,69.3833,178.4167,15.1,88,80,3.76,broken clouds
165,Maarianhamina,AX,60.0973,19.9348,33.66,100,0,3.44,clear sky
166,Trang,TH,7.5,99.5,75.15,100,40,1.14,fog
167,Chuy,UY,-33.6971,-53.4616,62.11,78,100,7.16,overcast clouds
168,Okhotsk,RU,59.3833,143.3,22.68,79,99,6.55,overcast clouds
169,San Antero,CO,9.3741,-75.7589,81.63,77,90,8.46,overcast clouds
170,Touros,BR,-5.1989,-35.4608,79.88,79,65,7.76,broken clouds
171,Port Lincoln,AU,-34.7333,135.8667,61.68,67,100,11.16,overcast clouds
172,Mwinilunga,ZM,-11.7358,24.4293,61.79,98,97,3.13,overcast clouds
173,Tyrma,RU,50.0833,132.1667,31.06,78,44,2.1,scattered clouds
174,Salyan,AZ,39.5936,48.9805,51.01,80,0,6.22,clear sky
175,Archidona,ES,37.0965,-4.3887,60.91,56,100,1.43,overcast clouds
176,Padang,ID,-0.9492,100.3543,75.25,88,88,3.53,heavy intensity rain
